일간(日干),자시(23:00~00:59),축시(01:00~02:59),인시(03:00~04:59),묘시(05:00~06:59),진시(07:00~08:59),사시(09:00~10:59),오시(11:00~12:59),미시(13:00~14:59),신시(15:00~16:59),유시(17:00~18:59),술시(19:00~20:59),해시(21:00~22:59)
갑,갑자(甲子),을축(乙丑),병인(丙寅),정묘(丁卯),무진(戊辰),기사(己巳),경오(庚午),신미(辛未),임신(壬申),계유(癸酉),갑술(甲戌),을해(乙亥)
을,병자(丙子),정축(丁丑),무인(戊寅),기묘(己卯),경진(庚辰),신사(辛巳),임오(壬午),계미(癸未),갑신(甲申),을유(乙酉),병술(丙戌),정해(丁亥)
병,무자(戊子),기축(己丑),경인(庚寅),신묘(辛卯),임진(壬辰),계사(癸巳),갑오(甲午),을미(乙未),병신(丙申),정유(丁酉),무술(戊戌),기해(己亥)
정,경자(庚子),신축(辛丑),임인(壬寅),계묘(癸卯),갑진(甲辰),을사(乙巳),병오(丙午),정미(丁未),무신(戊申),기유(己酉),경술(庚戌),신해(辛亥)
무,임자(壬子),계축(癸丑),갑인(甲寅),을묘(乙卯),병진(丙辰),정사(丁巳),무오(戊午),기미(己未),경신(庚申),신유(辛酉),임술(壬戌),계해(癸亥)
기,갑자(甲子),을축(乙丑),병인(丙寅),정묘(丁卯),무진(戊辰),기사(己巳),경오(庚午),신미(辛未),임신(壬申),계유(癸酉),갑술(甲戌),을해(乙亥)
경,병자(丙子),정축(丁丑),무인(戊寅),기묘(己卯),경진(庚辰),신사(辛巳),임오(壬午),계미(癸未),갑신(甲申),을유(乙酉),병술(丙戌),정해(丁亥)
신,무자(戊子),기축(己丑),경인(庚寅),신묘(辛卯),임진(壬辰),계사(癸巳),갑오(甲午),을미(乙未),병신(丙申),정유(丁酉),무술(戊戌),기해(己亥)
임,경자(庚子),신축(辛丑),임인(壬寅),계묘(癸卯),갑진(甲辰),을사(乙巳),병오(丙午),정미(丁未),무신(戊申),기유(己酉),경술(庚戌),신해(辛亥)
계,임자(壬子),계축(癸丑),갑인(甲寅),을묘(乙卯),병진(丙辰),정사(丁巳),무오(戊午),기미(己未),경신(庚申),신유(辛酉),임술(壬戌),계해(癸亥)